10 3
0.8276855015581537 0.614499362038296 0.48935672265362273
0.17643279876257256 0.5549155213692739 0.01986467763343669
0.5544404342627406 0.7501141252751171 0.7381561301068055
0.8683280750796748 0.8281629895861893 0.897125874417281
0.9524960749774681 0.9127447012883373 0.11125038240629148
0.6588534119817376 0.5346025567355528 0.6516722657523285
0.45550444830998693 0.9311971400258214 0.9540902131491158
0.1669977861149473 0.4273522769415612 0.8422910869232431
0.6171712014330157 0.9076562534984395 0.4183814071145294
0.5110978800602085 0.5968504217746459 0.5797928747118571
